Hotel,Room Type,Item Code,Check In Date,Check Out Date,Stock,Pax,Nights,Daily Rate,Total Price,,
South Pacific Plaza,2 Bed Standard,8SIL_SPP_2BS_8N3P,08/04/2018,16/04/2018,1,3,8, $692.30 ," $5,538.40 ",,
South Pacific Plaza,2 Bed Standard,8SIL_SPP_2BS_8N4P,08/04/2018,16/04/2018,1,4,8, $833.70 ," $6,669.60 ",,
South Pacific Plaza,2 Bed Standard,7SIL_SPP_2BS_9N3P,07/04/2018,16/04/2018,1,3,9, $628.28 ," $5,654.50 ",,
South Pacific Plaza,2 Bed Standard,7SIL_SPP_2BS_9N4P,07/04/2018,16/04/2018,1,4,9, $753.67 ," $6,783.00 ",,
South Pacific Plaza,2 Bed Superior,4SIL_SPP_2BX_3N3P,04/04/2018,07/04/2018,1,3,3," $2,012.40 "," $6,037.20 ",,
South Pacific Plaza,2 Bed Superior,4SIL_SPP_2BX_4N3P,04/04/2018,08/04/2018,1,3,4," $1,240.55 "," $4,962.20 ",,
South Pacific Plaza,2 Bed Superior,4SIL_SPP_2BX_8N3P,04/04/2018,12/04/2018,1,3,8, $811.14 ," $6,489.13 ",,
South Pacific Plaza,2 Bed Superior,4SIL_SPP_2BX_9N3P,04/04/2018,13/04/2018,1,3,9, $736.32 ," $6,626.84 ",,
South Pacific Plaza,2 Bed Superior,4SIL_SPP_2BX_12N3P,04/04/2018,16/04/2018,1,3,12, $646.34 ," $7,756.04 ",,
South Pacific Plaza,2 Bed Superior,4SIL_SPP_2BX_3N4P,04/04/2018,07/04/2018,1,4,3," $2,105.60 "," $6,316.80 ",,
South Pacific Plaza,2 Bed Superior,4SIL_SPP_2BX_4N4P,04/04/2018,08/04/2018,1,4,4," $1,316.70 "," $5,266.80 ",,
South Pacific Plaza,2 Bed Superior,4SIL_SPP_2BX_8N4P,04/04/2018,12/04/2018,1,4,8, $949.78 ," $7,598.22 ",,
South Pacific Plaza,2 Bed Superior,4SIL_SPP_2BX_9N4P,04/04/2018,13/04/2018,1,4,9, $859.19 ," $7,732.73 ",,
South Pacific Plaza,2 Bed Superior,4SIL_SPP_2BX_12N4P,04/04/2018,16/04/2018,1,4,12, $736.31 ," $8,835.67 ",,
South Pacific Plaza,2 Bed Superior,13SIL_SPP_2BX_3N3P,13/04/2018,16/04/2018,1,3,3," $2,012.40 "," $6,037.20 ",,
South Pacific Plaza,2 Bed Superior,13SIL_SPP_2BX_3N4P,13/04/2018,16/04/2018,1,4,3," $2,105.60 "," $6,316.80 ",,
South Pacific Plaza,2 Bed Superior,8SIL_SPP_2BX_4N3P,08/04/2018,12/04/2018,1,3,4," $1,240.55 "," $4,962.20 ",,
South Pacific Plaza,2 Bed Superior,8SIL_SPP_2BX_4N4P,08/04/2018,12/04/2018,1,4,4," $1,316.70 "," $5,266.80 ",,
South Pacific Plaza,2 Bed Superior,12SIL_SPP_2BX_4N3P,12/04/2018,16/04/2018,1,3,4," $1,240.55 "," $4,962.20 ",,
South Pacific Plaza,2 Bed Superior,12SIL_SPP_2BX_4N4P,12/04/2018,16/04/2018,1,4,4," $1,316.70 "," $5,266.80 ",,
South Pacific Plaza,2 Bed Superior,8SIL_SPP_2BX_8N3P,08/04/2018,16/04/2018,1,3,8, $811.14 ," $6,489.13 ",,
South Pacific Plaza,2 Bed Superior,8SIL_SPP_2BX_8N4P,08/04/2018,16/04/2018,1,4,8, $949.78 ," $7,598.22 ",,
South Pacific Plaza,2 Bed Superior,7SIL_SPP_2BX_9N3P,07/04/2018,16/04/2018,1,3,9, $736.32 ," $6,626.84 ",,
South Pacific Plaza,2 Bed Superior,7SIL_SPP_2BX_9N4P,07/04/2018,16/04/2018,1,4,9, $859.19 ," $7,732.73 ",,
Swiss-Belhotel Brisbane,Superior Room,4SIL_SWB_BNE_3N1P,04/04/2018,07/04/2018,10,1,3, $720.31 ," $2,160.94 ",,
Swiss-Belhotel Brisbane,Superior Room,4SIL_SWB_BNE_4N1P,04/04/2018,08/04/2018,10,1,4, $588.65 ," $2,354.58 ",,
Swiss-Belhotel Brisbane,Superior Room,4SIL_SWB_BNE_8N1P,04/04/2018,12/04/2018,10,1,8, $463.24 ," $3,705.94 ",,
Swiss-Belhotel Brisbane,Superior Room,4SIL_SWB_BNE_9N1P,04/04/2018,13/04/2018,10,1,9, $415.29 ," $3,737.61 ",,
Swiss-Belhotel Brisbane,Superior Room,4SIL_SWB_BNE_12N1P,04/04/2018,16/04/2018,10,1,12, $351.06 ," $4,212.70 ",,
Swiss-Belhotel Brisbane,Superior Room,4SIL_SWB_BNE_3N2P,04/04/2018,07/04/2018,10,2,3, $895.12 ," $2,685.35 ",,
Swiss-Belhotel Brisbane,Superior Room,4SIL_SWB_BNE_4N2P,04/04/2018,08/04/2018,10,2,4, $721.86 ," $2,887.45 ",,
Swiss-Belhotel Brisbane,Superior Room,4SIL_SWB_BNE_8N2P,04/04/2018,12/04/2018,10,2,8, $537.23 ," $4,297.85 ",,
Swiss-Belhotel Brisbane,Superior Room,4SIL_SWB_BNE_9N2P,04/04/2018,13/04/2018,10,2,9, $481.21 ," $4,330.91 ",,
Swiss-Belhotel Brisbane,Superior Room,4SIL_SWB_BNE_12N2P,04/04/2018,16/04/2018,10,2,12, $402.23 ," $4,826.75 ",,
Swiss-Belhotel Brisbane,Superior Room,13SIL_SWB_BNE_3N1P,13/04/2018,16/04/2018,10,1,3, $720.31 ," $2,160.94 ",,
Swiss-Belhotel Brisbane,Superior Room,13SIL_SWB_BNE_3N2P,13/04/2018,16/04/2018,10,2,3, $895.12 ," $2,685.35 ",,
Swiss-Belhotel Brisbane,Superior Room,8SIL_SWB_BNE_4N1P,08/04/2018,12/04/2018,10,1,4, $588.65 ," $2,354.58 ",,
Swiss-Belhotel Brisbane,Superior Room,8SIL_SWB_BNE_4N2P,08/04/2018,12/04/2018,10,2,4, $721.86 ," $2,887.45 ",,
Swiss-Belhotel Brisbane,Superior Room,12SIL_SWB_BNE_4N1P,12/04/2018,16/04/2018,10,1,4, $588.65 ," $2,354.58 ",,
Swiss-Belhotel Brisbane,Superior Room,12SIL_SWB_BNE_4N2P,12/04/2018,16/04/2018,10,2,4, $721.86 ," $2,887.45 ",,
Swiss-Belhotel Brisbane,Superior Room,8SIL_SWB_BNE_8N1P,08/04/2018,16/04/2018,10,1,8, $463.24 ," $3,705.94 ",,
Swiss-Belhotel Brisbane,Superior Room,8SIL_SWB_BNE_8N2P,08/04/2018,16/04/2018,10,2,8, $537.23 ," $4,297.85 ",,
Swiss-Belhotel Brisbane,Superior Room,7SIL_SWB_BNE_9N1P,07/04/2018,16/04/2018,10,1,9, $415.29 ," $3,737.61 ",,
Swiss-Belhotel Brisbane,Superior Room,7SIL_SWB_BNE_9N2P,07/04/2018,16/04/2018,10,2,9, $481.21 ," $4,330.91 ",,
Synergy Broadbeach,2 Bedroom,4SIL_SYN_2BS_3N3P,04/04/2018,07/04/2018,5,3,3," $1,737.20 "," $5,211.60 ",,
Synergy Broadbeach,2 Bedroom,4SIL_SYN_2BS_4N3P,04/04/2018,08/04/2018,5,3,4," $1,139.50 "," $4,558.00 ",,
Synergy Broadbeach,2 Bedroom,4SIL_SYN_2BS_8N3P,04/04/2018,12/04/2018,5,3,8, $727.78 ," $5,822.20 ",,
Synergy Broadbeach,2 Bedroom,4SIL_SYN_2BS_9N3P,04/04/2018,13/04/2018,5,3,9, $660.53 ," $5,944.75 ",,
Synergy Broadbeach,2 Bedroom,4SIL_SYN_2BS_12N3P,04/04/2018,16/04/2018,5,3,12, $579.14 ," $6,949.66 ",,
Synergy Broadbeach,2 Bedroom,4SIL_SYN_2BS_3N4P,04/04/2018,07/04/2018,5,4,3," $1,836.80 "," $5,510.40 ",,
